id,created_at,text,likes,in reply to,retweeted
1250046936847020033,2020-04-14 13:03:09,"RT @AcmIgdtuw: The Research Session is live!! 
Check it out now!
@rishabhk_
#research #advaya2020 #igdtuw #techweek #acm https://t.co/zgrpy…",0,,True
1250021716048277504,2020-04-14 11:22:56,This is awesome! Do Participate! Beginners friendly! https://t.co/IC7F5I8FCj,0,,False
1249755612101001216,2020-04-13 17:45:31,"Thanks for joining in @namanguptaa_  We have a lot more exciting events under Advaya 2020, technical week of ACM-IG… https://t.co/79mKdxWPtt",0,,False
1249691220445671424,2020-04-13 13:29:39,"RT @AcmIgdtuw: We are now live with ""GitHub on your tips!""
✨✨✨✨
#acm #acm_igdtuw #advaya2020 #techweek #github @khushbooverma_ https://t.co…",0,,True
1249688988174049287,2020-04-13 13:20:47,"'GitHUb on your Tips' is live with @khushbooverma_ , GitHub campus expert IGDTUW 
@AcmIgdtuw #igdtuw #acm_igdtuw… https://t.co/u5s910mnTh",23,,False
1249651302138654720,2020-04-13 10:51:02,"RT @AcmIgdtuw: *ACM IGDTUW*  brings you an informative "" *Git Learning Session*""  by Khushboo Verma, GitHub Campus Expert as a part of it's…",0,,True
1249651286842028032,2020-04-13 10:50:58,"RT @AcmIgdtuw: 🤩🤩🤩🤩🤩
 *ACM Student Chapter, IGDTUW* in collaboration with *QuickSort* brings you the biggest *coding contest*, to test your…",0,,True
1249651251135909888,2020-04-13 10:50:50,"RT @AcmIgdtuw: ACM IGDTUW brings to you a webinar by Rishabh Kaushal sir, who has published 35+ research papers in reputed conferences acro…",0,,True
1249651202565922818,2020-04-13 10:50:38,"RT @AcmIgdtuw: ACM IGDTUW is bringing to you *Placement Cheat Codes and ICPC Webinar* under the banner of *अद्वय 2020.*

Your very own seni…",0,,True
1249651157619716096,2020-04-13 10:50:28,"RT @AcmIgdtuw: Inviting all developers, beginners to experienced to the most awaited Hack of the year organized by ACM IGDTUW under the ban…",0,,True
1249651135436095488,2020-04-13 10:50:22,"RT @AcmIgdtuw: *ACM IGDTUW* brings you an *online scavenger hunt* as a part of it's online technical week *Advaya'20*!
To start the game, j…",0,,True
1249651097502748673,2020-04-13 10:50:13,"RT @AcmIgdtuw: *ACM IGDTUW* brings you a series of *Daily challenges* as a part of it's online technical week *Advaya'20* 
The first challe…",0,,True
1249651077378494465,2020-04-13 10:50:08,"RT @AcmIgdtuw: 🤩🤩🤩🤩🤩 *ACM IGDTUW* brings you a series of *Daily challenges* for both students and faculty!! , as a part of it's online tech…",0,,True
1249650965487050753,2020-04-13 10:49:42,"RT @AcmIgdtuw: Presenting *The Open Source Challenge*, a daily GitHub challenge, perform the daily GitHub tasks on our GitHub page to earn…",0,,True
1247876525803749376,2020-04-08 13:18:42,"RT @WWCode_Delhi: Hi all,
Here is the question for Day 4 of Quaran-Ten-Code..
Submit answer at https://t.co/mjCK97Y3qc
Please note:
-Submis…",0,,True
